,qa_title,qa_href
0,교통사고 보험사 합의 후 이의제기,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60201&docId=427509451
1,돈 빌린거 관한거 질문,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060402&docId=427509411
2,오토바이타고가다가 음주단속으로 0.068 나...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60201&docId=427509290
3,번개장터 사기 신고 질문,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060402&docId=427508744
4,신용카드를 만들면 사은품으로 현금을,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060402&docId=427507482
5,디지털포렌식 비참여 번복 관련 질문입니다,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020602&docId=427503854
6,"의료기관의 기록지분실,훼손 기록지 전부를...",https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020602&docId=427503109
7,새벽에 전화와서 옛날에 있었던 일을 가지...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060204&docId=427498493
8,낼 경찰서 조사 받으러가는데 떨어진 물건...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020603&docId=427490080
9,안녕하세요 궁금한 게 있어서요 질문드려봅...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60203&docId=427481176
10,사진을 도용당했어요 사이버수사 신고,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020602&docId=427500026
11,아버지사망으로자녀가상속인입니다 큰아버...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020604&docId=427499433
12,아는 형 한테 20만원 빌려줬는데 갚기로 한...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060402&docId=427499033
13,길가다 모르는 술취한 할아버지한테 뜬금없...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020603&docId=427498471
14,파산경매의 우선순위확인방법과 전세 계약...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60203&docId=427497047
15,협박죄 가능한가요?,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060204&docId=427496896
16,통장압류 압류금지채권범위변경,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60203&docId=427494857
17,스팸문자..?명의도용 대출사기 피해보상 받...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060402&docId=427493830
18,계좌압류시 궁금한 점입니다,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60203&docId=427492530
19,가석방 취소,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020604&docId=427490142
20,횡단보도사고 가해자입니다,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60201&docId=427487398
21,연인 금전사기,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020602&docId=427485523
22,가품 거래 사기,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060402&docId=427484722
23,태아의 지위가 보장 받지 못하는 이유는 뭔...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020602&docId=427484708
24,파충류 분양 사기 (다른 개체를 속여서 판...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060402&docId=427483608
25,집을 가던 중 휴대폰을 착각하고 들고갔는...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060203&docId=427480989
26,제 자전거 훔친 절도범이 상습절도범에 미...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060401&docId=427452978
27,난폭운전문의합니다,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60201&docId=427452868
28,제 개인 sns에 쓴 뒷담화를 회사 내에 공유...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020603&docId=427452351
29,비영리 사단법인 기본재산 관련 문의,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020604&docId=427451901
30,안녕하세요 궁금한것이 있는데요 제가,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60201&docId=427449531
31,절도 방관,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60206&docId=427446852
32,경찰수사관이 임의적으로 폭행사건을 상해...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060203&docId=427443254
33,교권 침해 해당되나요?,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020602&docId=427435134
34,친구인 사장이 가서 얘기를 하던도중 진상...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060203&docId=427432585
35,아파트 주차장에 미니냉장고을 보관했었는...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020602&docId=427429527
36,낙태 고소,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=602060204&docId=427426874
37,중간관리로사업을하다가 재고관리가안되서...,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60203&docId=427425740
38,폰태크 피해자 입니다 도와주세요,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=6020602&docId=427424701
39,아파트 주차 문제,https://kin.naver.com//qna/detail.naver?d1id=6&dirId=60201&docId=427420686
